wl	n	k
210.873	1.375211	0.376681
212.461	1.233285	0.414237
214.049	1.09382	0.48083
215.637	0.967508	0.578555
217.225	0.867752	0.701942
218.813	0.802065	0.836639
220.401	0.767137	0.968274
221.989	0.754486	1.089294
223.577	0.756332	1.197726
225.165	0.767087	1.294131
226.754	0.782927	1.379911
228.342	0.80116	1.456673
229.931	0.819756	1.526077
231.519	0.836991	1.589967
233.108	0.851791	1.651104
234.696	0.864904	1.711943
236.285	0.877507	1.773811
237.874	0.890763	1.837409
239.463	0.905741	1.903026
241.052	0.923382	1.970657
242.64	0.944492	2.0401
244.229	0.96974	2.111012
245.819	0.999672	2.18296
247.408	1.034733	2.25546
248.997	1.075284	2.32799
250.586	1.121632	2.400004
252.175	1.174059	2.470928
253.765	1.232852	2.540127
255.354	1.298372	2.606847
256.943	1.371078	2.669825
258.533	1.450405	2.727209
260.122	1.535076	2.777994
261.712	1.623904	2.821718
263.302	1.71586	2.858195
264.891	1.810047	2.887396
266.481	1.905687	2.909387
268.071	2.0021	2.924291
269.661	2.098684	2.932262
271.251	2.194901	2.933475
272.841	2.290263	2.92811
274.43	2.384315	2.916352
276.021	2.476634	2.898383
277.611	2.566801	2.874388
279.201	2.654409	2.844546
280.791	2.73904	2.809038
282.381	2.82025	2.76805
283.971	2.897544	2.721785
285.562	2.970329	2.670491
287.152	3.037802	2.61461
288.742	3.099367	2.555192
290.333	3.155035	2.493192
291.923	3.204948	2.429317
293.514	3.249283	2.36414
295.104	3.288237	2.298137
296.695	3.322008	2.231713
298.285	3.350793	2.165228
299.876	3.374787	2.098996
301.467	3.394179	2.033306
303.058	3.409157	1.968416
304.648	3.419905	1.90457
306.239	3.426604	1.841991
307.83	3.429435	1.780892
309.421	3.42858	1.721478
311.012	3.42422	1.663942
312.603	3.416545	1.608474
314.194	3.405748	1.555261
315.785	3.392035	1.504485
317.376	3.375623	1.456324
318.967	3.356748	1.410955
320.558	3.335672	1.36855
322.149	3.312693	1.329278
323.74	3.288158	1.293294
325.332	3.262518	1.260723
326.923	3.236321	1.23147
328.514	3.209916	1.205269
330.105	3.18353	1.181897
331.697	3.157339	1.161154
333.288	3.131487	1.142859
334.879	3.106097	1.126846
336.471	3.081272	1.112956
338.062	3.057103	1.101043
339.654	3.033665	1.090962
341.245	3.011024	1.082577
342.837	2.989235	1.075756
344.428	2.968344	1.070372
346.02	2.94839	1.0663
347.611	2.929399	1.063422
349.203	2.911396	1.061621
350.795	2.894394	1.060785
352.386	2.8784	1.060806
353.978	2.863415	1.061579
355.57	2.849432	1.063004
357.161	2.836441	1.064984
358.753	2.824424	1.067427
360.345	2.813356	1.070246
361.937	2.803211	1.073357
363.528	2.793955	1.076682
365.12	2.78555	1.080148
366.712	2.777954	1.083684
368.304	2.771121	1.087228
369.896	2.764999	1.090721
371.487	2.759534	1.094109
373.079	2.754663	1.097346
374.671	2.750319	1.100389
376.263	2.74642	1.103208
377.855	2.742879	1.10581
379.447	2.739641	1.108219
381.039	2.736668	1.110455
382.631	2.733927	1.112533
384.223	2.731393	1.114467
385.815	2.729043	1.116271
387.407	2.726859	1.117956
388.999	2.724823	1.119531
390.591	2.722921	1.121007
392.183	2.72114	1.122391
393.775	2.719469	1.123693
395.367	2.717896	1.124918
396.959	2.716414	1.126074
398.551	2.715013	1.127167
400.143	2.713686	1.128203
401.735	2.712428	1.129187
403.327	2.711231	1.130125
404.919	2.71009	1.131021
406.511	2.709001	1.13188
408.103	2.707959	1.132705
409.695	2.70696	1.133501
411.287	2.706001	1.134272
412.879	2.705078	1.13502
414.471	2.704189	1.135749
416.063	2.70333	1.136462
417.655	2.702499	1.137161
419.247	2.701695	1.13785
420.839	2.700915	1.138531
422.431	2.700157	1.139206
424.023	2.69942	1.139877
425.615	2.698703	1.140547
427.207	2.698004	1.141217
428.799	2.697321	1.141889
430.392	2.696655	1.142564
431.984	2.696004	1.143246
433.576	2.695367	1.143934
435.168	2.694744	1.14463
436.76	2.694134	1.145336
438.352	2.693536	1.146052
439.944	2.69295	1.14678
441.535	2.692376	1.147522
443.127	2.691813	1.148277
444.719	2.691262	1.149047
446.311	2.69072	1.149833
447.903	2.69019	1.150635
449.495	2.68967	1.151454
451.087	2.689161	1.152291
452.679	2.688662	1.153146
454.271	2.688173	1.154019
455.863	2.687694	1.154912
457.455	2.687226	1.155825
459.046	2.686767	1.156758
460.638	2.686319	1.157711
462.23	2.685882	1.158685
463.822	2.685455	1.159681
465.414	2.685038	1.160697
467.005	2.684632	1.161736
468.597	2.684237	1.162796
470.189	2.683852	1.163878
471.781	2.683479	1.164983
473.372	2.683116	1.166109
474.964	2.682765	1.167259
476.556	2.682425	1.16843
478.147	2.682098	1.169624
479.739	2.681782	1.170841
481.33	2.681478	1.172081
482.922	2.681185	1.173343
484.513	2.680906	1.174627
486.105	2.680639	1.175935
487.696	2.680385	1.177264
489.288	2.680144	1.178616
490.879	2.679917	1.179991
492.471	2.679702	1.181388
494.062	2.679502	1.182807
495.654	2.679315	1.184248
497.245	2.679142	1.18571
498.836	2.678984	1.187195
500.427	2.67884	1.188701
502.019	2.678711	1.190229
503.61	2.678596	1.191777
505.201	2.678498	1.193347
506.792	2.678414	1.194938
508.383	2.678346	1.196549
509.974	2.678293	1.198181
511.566	2.678257	1.199833
513.157	2.678237	1.201505
514.748	2.678233	1.203196
516.339	2.678246	1.204907
517.929	2.678276	1.206637
519.52	2.678323	1.208386
521.111	2.678386	1.210154
522.702	2.678468	1.211941
524.293	2.678567	1.213745
525.883	2.678684	1.215567
527.474	2.678819	1.217407
529.065	2.678972	1.219264
530.656	2.679144	1.221138
532.246	2.679335	1.223028
533.837	2.679545	1.224935
535.427	2.679773	1.226858
537.018	2.680022	1.228796
538.608	2.68029	1.23075
540.198	2.680577	1.232719
541.789	2.680885	1.234702
543.379	2.681214	1.2367
544.969	2.681563	1.238711
546.56	2.681934	1.240736
548.15	2.682326	1.242773
549.74	2.682741	1.244822
551.33	2.683177	1.246882
552.92	2.683636	1.248952
554.51	2.684117	1.251031
556.1	2.684619	1.253119
557.69	2.685144	1.255216
559.28	2.68569	1.257319
560.869	2.686258	1.25943
562.459	2.686847	1.261546
564.049	2.687457	1.263669
565.639	2.688088	1.265796
567.228	2.688739	1.267928
568.818	2.689411	1.270064
570.407	2.690104	1.272204
571.997	2.690816	1.274348
573.586	2.691548	1.276493
575.175	2.692299	1.278642
576.765	2.69307	1.280792
578.354	2.693859	1.282943
579.943	2.694667	1.285096
581.532	2.695493	1.28725
583.121	2.696337	1.289404
584.71	2.6972	1.291558
586.299	2.698079	1.293712
587.888	2.698976	1.295865
589.477	2.699889	1.298017
591.066	2.700819	1.300169
592.654	2.701765	1.302318
594.243	2.702727	1.304466
595.831	2.703705	1.306612
597.42	2.704698	1.308756
599.008	2.705707	1.310897
600.597	2.70673	1.313036
602.185	2.707767	1.315171
603.773	2.708819	1.317304
605.362	2.709885	1.319433
606.95	2.710964	1.321558
608.538	2.712056	1.32368
610.126	2.713162	1.325798
611.714	2.71428	1.327912
613.302	2.71541	1.330021
614.89	2.716553	1.332126
616.477	2.717708	1.334227
618.065	2.718874	1.336322
619.653	2.720051	1.338413
621.24	2.72124	1.340499
622.828	2.722439	1.34258
624.415	2.723648	1.344655
626.002	2.724868	1.346726
627.59	2.726097	1.34879
629.177	2.727336	1.35085
630.764	2.728585	1.352903
632.351	2.729842	1.354951
633.938	2.731108	1.356993
635.525	2.732383	1.359029
637.112	2.733666	1.36106
638.698	2.734957	1.363084
640.285	2.736255	1.365102
641.872	2.737561	1.367114
643.458	2.738874	1.369119
645.045	2.740195	1.371119
646.631	2.741521	1.373112
648.217	2.742854	1.375099
649.804	2.744194	1.377079
651.39	2.745539	1.379054
652.976	2.74689	1.381021
654.562	2.748246	1.382982
656.148	2.749607	1.384937
657.733	2.750973	1.386886
659.319	2.752344	1.388827
660.905	2.753719	1.390763
662.49	2.755099	1.392691
664.076	2.756482	1.394614
665.661	2.757869	1.39653
667.246	2.759259	1.398439
668.832	2.760652	1.400342
670.417	2.762049	1.402238
672.002	2.763448	1.404128
673.587	2.764849	1.406011
675.172	2.766252	1.407888
676.756	2.767658	1.409759
678.341	2.769065	1.411624
679.926	2.770473	1.413482
681.51	2.771883	1.415334
683.095	2.773293	1.417179
684.679	2.774705	1.419019
686.263	2.776116	1.420852
687.848	2.777528	1.422679
689.432	2.778939	1.424501
691.016	2.78035	1.426316
692.599	2.781761	1.428126
694.183	2.78317	1.42993
695.767	2.784579	1.431728
697.35	2.785985	1.433521
698.934	2.78739	1.435308
700.517	2.788792	1.43709
702.101	2.790192	1.438867
703.684	2.791589	1.440638
705.267	2.792983	1.442405
706.85	2.794372	1.444167
708.433	2.795757	1.445925
710.016	2.797137	1.44768
711.599	2.798513	1.449432
713.181	2.799883	1.451182
714.764	2.801249	1.452929
716.346	2.802609	1.454676
717.928	2.803964	1.456421
719.511	2.805315	1.458166
721.093	2.80666	1.45991
722.675	2.808001	1.461655
724.257	2.809337	1.4634
725.839	2.810668	1.465146
727.42	2.811995	1.466893
729.002	2.813317	1.468642
730.583	2.814635	1.470392
732.165	2.815949	1.472144
733.746	2.817259	1.473899
735.327	2.818565	1.475656
736.908	2.819867	1.477415
738.489	2.821166	1.479178
740.07	2.822461	1.480944
741.651	2.823754	1.482713
743.231	2.825042	1.484485
744.812	2.826329	1.486261
746.392	2.827612	1.488041
747.972	2.828893	1.489825
749.553	2.830171	1.491613
751.133	2.831447	1.493405
752.713	2.832721	1.495202
754.292	2.833993	1.497003
755.872	2.835263	1.498808
757.452	2.836532	1.500619
759.031	2.8378	1.502434
760.611	2.839066	1.504254
762.19	2.840331	1.506079
763.769	2.841595	1.507909
765.348	2.842858	1.509745
766.927	2.844121	1.511585
768.506	2.845383	1.513431
770.084	2.846646	1.515282
771.663	2.847908	1.517139
773.241	2.84917	1.519001
774.82	2.850432	1.520868
776.398	2.851695	1.522741
777.976	2.852958	1.52462
779.554	2.854223	1.526504
781.132	2.855488	1.528393
782.709	2.856754	1.530289
784.287	2.858021	1.532189
785.864	2.859289	1.534096
787.442	2.860559	1.536008
789.019	2.861831	1.537926
790.596	2.863105	1.539849
792.173	2.86438	1.541778
793.75	2.865658	1.543713
795.326	2.866937	1.545653
796.903	2.868219	1.547599
798.479	2.869504	1.549551
800.056	2.870791	1.551508
801.632	2.872081	1.55347
803.208	2.873374	1.555438
804.784	2.87467	1.557412
806.36	2.875969	1.559391
807.935	2.877271	1.561375
809.511	2.878577	1.563365
811.086	2.879886	1.565361
812.661	2.881199	1.567361
814.236	2.882515	1.569367
815.811	2.883836	1.571378
817.386	2.88516	1.573394
818.961	2.886489	1.575416
820.536	2.887821	1.577442
822.11	2.889158	1.579474
823.684	2.8905	1.58151
825.258	2.891846	1.583552
826.832	2.893197	1.585598
828.406	2.894552	1.587649
829.98	2.895912	1.589705
831.554	2.897278	1.591766
833.127	2.898648	1.593832
834.7	2.900023	1.595901
836.274	2.901404	1.597976
837.847	2.90279	1.600055
839.419	2.904181	1.602138
840.992	2.905578	1.604226
842.565	2.90698	1.606318
844.137	2.908388	1.608414
845.71	2.909802	1.610515
847.282	2.911222	1.612619
848.854	2.912647	1.614727
850.426	2.914078	1.616839
851.997	2.915516	1.618956
853.569	2.91696	1.621076
855.14	2.918409	1.623199
856.712	2.919866	1.625327
858.283	2.921328	1.627457
859.854	2.922797	1.629591
861.425	2.924272	1.631729
862.995	2.925754	1.63387
864.566	2.927243	1.636015
866.136	2.928738	1.638162
867.706	2.930239	1.640313
869.276	2.931748	1.642466
870.846	2.933264	1.644623
872.416	2.934786	1.646782
873.986	2.936315	1.648944
875.555	2.937852	1.651109
877.125	2.939395	1.653277
878.694	2.940946	1.655447
880.263	2.942503	1.65762
